observed_at_utc,monitor_elapsed_seconds,phase,host_swap_in_mib_s,host_swap_out_mib_s,host_swap_used_mib,app_cpu_pct,app_ps_rss_mib,sidecar_cpu_pct,sidecar_ps_rss_mib,host_process_count
2026-09-06T02:03:43.481447+00:00,1037.2805,interaction,4.958924,15.4666,23365.19,2.2,53.15625,0.0,12.75,984
2026-09-06T02:03:48.490773+00:00,1042.286177,interaction,16.643602,16.331456,23366.94,2.6,52.9375,0.0,12.671875,984
2026-09-06T02:03:53.519417+00:00,1047.289391,interaction,4.721965,12.92919,23415.62,4.3,52.625,0.0,12.59375,984
2026-09-06T02:03:58.498618+00:00,1052.294718,interaction,7.395246,0.0,23367.62,2.2,53.09375,0.0,12.515625,985
2026-09-06T02:04:03.517760+00:00,1057.29529,interaction,15.732575,19.997712,23387.62,3.6,52.953125,0.0,12.625,976
2026-09-06T02:04:08.526152+00:00,1062.300796,interaction,13.48515,16.044832,23411.94,2.8,52.390625,0.0,12.5625,975
2026-09-06T02:04:13.509754+00:00,1067.304654,interaction,25.648961,14.538783,23324.69,3.1,52.125,0.0,12.734375,976
2026-09-06T02:04:18.535200+00:00,1072.310279,interaction,7.978524,0.0,23308.69,3.3,51.984375,0.0,12.578125,976
2026-09-06T02:04:23.516667+00:00,1077.312184,interaction,3.426819,5.360457,23311.5,2.5,51.96875,0.0,12.578125,976
2026-09-06T02:04:28.535463+00:00,1082.315796,interaction,10.701644,6.994947,23306.5,3.0,51.96875,0.0,12.546875,979
2026-09-06T02:04:33.526452+00:00,1087.320351,interaction,19.956818,30.297397,23354.12,2.8,52.3125,0.0,12.765625,982
2026-09-06T02:04:38.528502+00:00,1092.321555,interaction,27.43402,29.467905,23333.5,2.7,52.40625,0.0,12.65625,983
2026-09-06T02:04:43.530920+00:00,1097.326989,interaction,49.524307,75.355611,23494.69,3.1,52.03125,0.0,10.140625,986
2026-09-06T02:04:48.541670+00:00,1102.332341,interaction,5.241265,0.0,23470.69,2.7,51.84375,0.0,11.734375,983
2026-09-06T02:04:53.560949+00:00,1107.338793,interaction,7.250019,0.0,23430.69,2.9,52.0625,0.0,12.671875,988
2026-09-06T02:04:58.553080+00:00,1112.344082,interaction,5.509797,0.0,23398.69,2.6,52.328125,0.0,10.703125,986
2026-09-06T02:05:03.594042+00:00,1117.346952,interaction,10.618904,8.207788,23383.75,3.1,52.171875,0.0,12.59375,988
2026-09-06T02:05:08.559561+00:00,1122.35228,interaction,10.78226,20.353312,23405.62,2.5,51.625,0.0,12.59375,992
2026-09-06T02:05:13.566352+00:00,1127.353177,interaction,19.29029,36.755907,23517.44,2.5,51.703125,0.0,12.71875,992
2026-09-06T02:05:18.565301+00:00,1132.354498,interaction,6.83257,0.0,23469.44,3.0,51.6875,0.0,9.421875,995
2026-09-06T02:05:23.585455+00:00,1137.355209,interaction,6.695923,0.0,23453.44,2.5,51.71875,0.0,13.65625,997
2026-09-06T02:05:28.580545+00:00,1142.361121,interaction,8.758394,2.222372,23424.56,3.4,51.78125,0.0,12.625,997
2026-09-06T02:05:33.581071+00:00,1147.366643,interaction,6.087028,15.333067,23477.31,2.9,51.53125,0.0,12.53125,1004
2026-09-06T02:05:38.592930+00:00,1152.36752,interaction,72.487285,18.87169,23203.69,2.4,51.3125,0.0,11.5625,1004
2026-09-06T02:05:43.581329+00:00,1157.37192,interaction,99.015987,100.673903,23219.5,2.7,51.671875,0.0,7.265625,1004
2026-09-06T02:05:48.582187+00:00,1162.377587,interaction,10.016771,39.954713,23347.5,2.6,51.703125,0.0,11.46875,1004
2026-09-06T02:05:53.615147+00:00,1167.383182,interaction,3.555396,0.0,23339.5,3.1,51.484375,0.0,12.59375,1004
2026-09-06T02:05:58.593899+00:00,1172.387658,interaction,6.0602,0.0,23291.5,3.5,51.359375,0.0,10.84375,1001
2026-09-06T02:06:03.611586+00:00,1177.393162,interaction,14.715055,26.75805,23361.44,2.2,54.78125,0.0,13.359375,999
2026-09-06T02:06:08.612417+00:00,1182.398684,interaction,19.746939,29.18027,23403.5,2.9,56.9375,0.0,12.625,1007
2026-09-06T02:06:13.620313+00:00,1187.403572,interaction,6.493652,22.378125,23499.5,2.8,54.1875,0.0,12.5,1008
2026-09-06T02:06:18.638918+00:00,1192.408945,interaction,10.919514,0.0,23443.5,3.8,54.609375,0.0,12.625,1018
2026-09-06T02:06:23.626766+00:00,1197.414684,interaction,9.211304,0.0,23379.5,2.7,55.109375,0.1,12.578125,1009
2026-09-06T02:06:28.645983+00:00,1202.419787,interaction,26.135826,22.302239,23363.12,3.5,54.796875,0.4,12.34375,1010
2026-09-06T02:06:33.643422+00:00,1207.425625,interaction,4.382382,3.695684,23357.62,3.2,54.71875,0.3,12.3125,1010
